"품목별(1)","품목별(2)","품목별(3)",시점,항목,데이터
"비식용원재료(연료제외)","콜크 및 나무","연료용 나무(나무찌꺼기 제외) 및 숯",2021. 11,수출액 (천달러),11
"비식용원재료(연료제외)","콜크 및 나무","연료용 나무(나무찌꺼기 제외) 및 숯",2021. 11,수입액 (천달러),8077
"비식용원재료(연료제외)","콜크 및 나무","나무(칩상 또는 삭편상)및 나무찌꺼기",2021. 11,수출액 (천달러),8
"비식용원재료(연료제외)","콜크 및 나무","나무(칩상 또는 삭편상)및 나무찌꺼기",2021. 11,수입액 (천달러),53132
"비식용원재료(연료제외)","콜크 및 나무","원목",2021. 11,수출액 (천달러),21
"비식용원재료(연료제외)","콜크 및 나무","원목",2021. 11,수입액 (천달러),42431
"비식용원재료(연료제외)","콜크 및 나무","간단히 가공한 나무 및 철도용 침목",2021. 11,수출액 (천달러),1090
"비식용원재료(연료제외)","콜크 및 나무","간단히 가공한 나무 및 철도용 침목",2021. 11,수입액 (천달러),94434
"비식용원재료(연료제외)","펄프 및 폐지","소계",2021. 11,수출액 (천달러),9512
"비식용원재료(연료제외)","펄프 및 폐지","소계",2021. 11,수입액 (천달러),145891
"비식용원재료(연료제외)","펄프 및 폐지","펄프 및 폐지",2021. 11,수출액 (천달러),9512
"비식용원재료(연료제외)","펄프 및 폐지","펄프 및 폐지",2021. 11,수입액 (천달러),145891
"비식용원재료(연료제외)","섬유 및 그 웨이스트","소계",2021. 11,수출액 (천달러),151973
"비식용원재료(연료제외)","섬유 및 그 웨이스트","소계",2021. 11,수입액 (천달러),49079
"비식용원재료(연료제외)","섬유 및 그 웨이스트","견",2021. 11,수출액 (천달러),28
"비식용원재료(연료제외)","섬유 및 그 웨이스트","견",2021. 11,수입액 (천달러),268
"비식용원재료(연료제외)","섬유 및 그 웨이스트","면",2021. 11,수출액 (천달러),1241
"비식용원재료(연료제외)","섬유 및 그 웨이스트","면",2021. 11,수입액 (천달러),21059
"비식용원재료(연료제외)","섬유 및 그 웨이스트","달리명시되지 않은 황마와 기타의 방직용 인피섬유",2021. 11,수입액 (천달러),509
"비식용원재료(연료제외)","섬유 및 그 웨이스트","식물성 섬유 : 동섬유의 부스러기",2021. 11,수출액 (천달러),2
"비식용원재료(연료제외)","섬유 및 그 웨이스트","식물성 섬유 : 동섬유의 부스러기",2021. 11,수입액 (천달러),173
"비식용원재료(연료제외)","섬유 및 그 웨이스트","방적에 적합한 합성섬유",2021. 11,수출액 (천달러),112860
"비식용원재료(연료제외)","섬유 및 그 웨이스트","방적에 적합한 합성섬유",2021. 11,수입액 (천달러),4290
"비식용원재료(연료제외)","섬유 및 그 웨이스트","방적에 적합한 기타 인공섬유",2021. 11,수출액 (천달러),6095
"비식용원재료(연료제외)","섬유 및 그 웨이스트","방적에 적합한 기타 인공섬유",2021. 11,수입액 (천달러),9614
"비식용원재료(연료제외)","섬유 및 그 웨이스트","양모 및 기타 수모(양모톱 제외)",2021. 11,수입액 (천달러),10586
"비식용원재료(연료제외)","섬유 및 그 웨이스트","낡은 의류 및 기타 낡은 섬유제품 : 넝마",2021. 11,수출액 (천달러),31747
"비식용원재료(연료제외)","섬유 및 그 웨이스트","낡은 의류 및 기타 낡은 섬유제품 : 넝마",2021. 11,수입액 (천달러),2579
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","소계",2021. 11,수출액 (천달러),45701
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","소계",2021. 11,수입액 (천달러),112130
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","미가공비료(56항의 것 제외)",2021. 11,수출액 (천달러),1733
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","미가공비료(56항의 것 제외)",2021. 11,수입액 (천달러),4951
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","돌,모래 및 자갈",2021. 11,수출액 (천달러),2194
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","돌,모래 및 자갈",2021. 11,수입액 (천달러),13330
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","유황 및 하소하지 않은 황하철광",2021. 11,수출액 (천달러),26988
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","유황 및 하소하지 않은 황하철광",2021. 11,수입액 (천달러),1861
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","달리 명시되지 않은 천연연마재(공업용 다이아몬드 포함)",2021. 11,수출액 (천달러),2302
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","달리 명시되지 않은 천연연마재(공업용 다이아몬드 포함)",2021. 11,수입액 (천달러),6286
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","기타 미가공 광물",2021. 11,수출액 (천달러),12484
"비식용원재료(연료제외)","미가공 비료 및 미가공 광물","기타 미가공 광물",2021. 11,수입액 (천달러),85701
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","소계",2021. 11,수출액 (천달러),207650
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","소계",2021. 11,수입액 (천달러),2841549
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","철광석 및 정광",2021. 11,수출액 (천달러),261
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","철광석 및 정광",2021. 11,수입액 (천달러),972038
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","철의 웨이스트와 스크랩 및 철강의 재용해용 잉곳",2021. 11,수출액 (천달러),28684
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","철의 웨이스트와 스크랩 및 철강의 재용해용 잉곳",2021. 11,수입액 (천달러),252010
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","동광석 및 정광 : 동매트 시멘트동",2021. 11,수출액 (천달러),103825
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","동광석 및 정광 : 동매트 시멘트동",2021. 11,수입액 (천달러),551927
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","니켈광석 및 정광 : 니켈매트,니켈신터",2021. 11,수출액 (천달러),395
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","니켈광석 및 정광 : 니켈매트,니켈신터",2021. 11,수입액 (천달러),46624
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","알루미늄광과 그 정광",2021. 11,수출액 (천달러),3698
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","알루미늄광과 그 정광",2021. 11,수입액 (천달러),15199
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","달리 명시되지 않은 금속의 광석 및 정광(귀금속 제외)",2021. 11,수출액 (천달러),12436
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","달리 명시되지 않은 금속의 광석 및 정광(귀금속 제외)",2021. 11,수입액 (천달러),441754
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","달리 명시되지 않는 비철금속의 웨이스트",2021. 11,수출액 (천달러),21147
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","달리 명시되지 않는 비철금속의 웨이스트",2021. 11,수입액 (천달러),430880
